Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=NJ
08234,NJ,101.66,1261690.437,12/07/2009,,
07728,NJ,7.8,71809.7988,06/18/2007,,
07733,NJ,6.84,65413.38225,06/28/2005,,
08525,NJ,7.92,76679.9772,08/03/2004,,
07756,NJ,1.19,12548.90378,03/02/2006,,
08302,NJ,10.2,80300.19425,12/01/2006,,
07039,NJ,19.2,180314.8894,07/27/2006,,
08270,NJ,12.25,,04/29/2014,,
08205,NJ,9.8,,03/25/2014,,
08533,NJ,11,,04/09/2012,,
08050,NJ,9.6,100246.478,11/02/2007,,
08037,NJ,3,,07/02/2014,,
08527,NJ,6.72,65439.21951,12/20/2005,,
07034,NJ,10.455,,11/03/2014,,
08540,NJ,5.46,50829.63512,08/05/2008,,
08088,NJ,4.008,41780.49041,05/21/2007,,
08648,NJ,8.016,78126.60031,10/13/2004,,
08060,NJ,3.15,32179.64784,04/12/2006,,
07724,NJ,8,,07/20/2012,,
07003,NJ,4.9,48646.40914,02/10/2005,,
08558,NJ,3,30519.45224,09/12/2011,,
08876,NJ,10.03,84044.19602,01/18/2008,,
08822,NJ,9.853,88520.01243,06/27/2006,,
08730,NJ,8.16,77576.6573,03/02/2006,,
08759,NJ,16.83,,10/22/2014,,
08873,NJ,5.88,,01/23/2014,,
08854,NJ,7,70732.09756,12/28/2005,,
08736,NJ,10.5,87058.3876,04/01/2008,,
08527,NJ,6.88,64225.83507,05/22/2007,,
08314,NJ,16.83,,06/03/2014,,
08822,NJ,9.9,86394.20488,12/15/2005,,
08822,NJ,10,96886.05507,03/18/2008,,
