Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=NY
10580,NY,8.1,67575.0,10/21/2009,,
10916,NY,8.4,54600.0,10/22/2009,,
14850,NY,5.376,45880.0,10/23/2009,,
14850,NY,4.05,44452.98,10/23/2009,,
14571,NY,2.94,23521.29,10/23/2009,,
13409,NY,3.136,31446.0,10/23/2009,,
12928,NY,3.04,25141.0,10/23/2009,,
12571,NY,5.4,43160.0,10/23/2009,,
12569,NY,7.2,61452.0,10/23/2009,,
12095,NY,5.52,45491.0,10/23/2009,,
10928,NY,8.55,70428.0,10/23/2009,,
10921,NY,6.84,56480.0,10/23/2009,,
12726,NY,4.56,36480.0,10/28/2009,,
12601,NY,5.4,48563.0,10/28/2009,,
12075,NY,5.04,42336.0,10/28/2009,,
10580,NY,2.7,23700.0,10/28/2009,,
10530,NY,7.2,66150.16,10/28/2009,,
13843,NY,4.4,37386.74,10/29/2009,,
12498,NY,10.71,82169.0,10/29/2009,,
12498,NY,10.71,82169.0,10/29/2009,,
12498,NY,10.71,82169.0,10/29/2009,,
12474,NY,24.5,212293.11,10/29/2009,,
12196,NY,3.44,28288.0,10/29/2009,,
10709,NY,5.4,41250.0,10/29/2009,,
12866,NY,2.88,24884.0,10/30/2009,,
12180,NY,3.3,28408.0,10/30/2009,,
13408,NY,2.58,26066.07,11/02/2009,,
14884,NY,4.05,31926.19,11/04/2009,,
14020,NY,4.05,29024.35,11/04/2009,,
13850,NY,6.75,55330.0,11/04/2009,,
12592,NY,10.8,91828.0,11/04/2009,,
12589,NY,6.72,65251.0,11/04/2009,,
12561,NY,6.75,59430.0,11/04/2009,,
12507,NY,9.0,73804.0,11/04/2009,,
12308,NY,2.28,21051.0,11/04/2009,,
10940,NY,6.0,45000.0,11/04/2009,,
14755,NY,4.2,35200.0,11/05/2009,,
14750,NY,5.04,40320.0,11/05/2009,,
14543,NY,4.2,32452.69,11/05/2009,,
14470,NY,3.15,26240.69,11/05/2009,,
13905,NY,8.1,63800.0,11/05/2009,,
13421,NY,5.04,41393.0,11/05/2009,,
13417,NY,5.4,43000.0,11/05/2009,,
13060,NY,8.4,73407.2,11/05/2009,,
12953,NY,3.51,32400.0,11/05/2009,,
12834,NY,4.68,39869.0,11/05/2009,,
12528,NY,5.824,52685.13,11/05/2009,,
12177,NY,4.94,40342.0,11/05/2009,,
10990,NY,18.7,163500.0,11/05/2009,,
10605,NY,9.45,75600.0,11/05/2009,,
12561,NY,5.04,45360.0,11/06/2009,,
10954,NY,7.2,58441.0,11/06/2009,,
10940,NY,7.0,64000.0,11/06/2009,,
10514,NY,4.2,37500.0,11/06/2009,,
12816,NY,6.75,53230.0,11/09/2009,,
12601,NY,9.36,80466.53,11/09/2009,,
12549,NY,7.2,55224.0,11/09/2009,,
12546,NY,6.21,49680.0,11/09/2009,,
12424,NY,2.925,31400.0,11/09/2009,,
12302,NY,4.8,37790.0,11/09/2009,,
10916,NY,4.2,33600.0,11/09/2009,,
14466,NY,4.56,37272.94,11/11/2009,,
14414,NY,1.05,7720.0,11/11/2009,,
10451,NY,16.56,151850.0,11/11/2009,,
13642,NY,15.48,162398.76,11/12/2009,,
10453,NY,8.28,83435.0,11/12/2009,,
12570,NY,10.125,81164.0,11/19/2009,,
12498,NY,5.67,51000.0,11/19/2009,,
12498,NY,4.41,36000.0,11/19/2009,,
12477,NY,8.4,76000.0,11/19/2009,,
12440,NY,7.2,67800.0,11/19/2009,,
14127,NY,3.36,26379.0,11/20/2009,,
