Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=MA
02176,MA,4.9,18375.0,10/11/2012,,
02420,MA,3.43,16642.5,12/18/2012,,
02631,MA,8.46,39214.0,10/16/2012,,
02130,MA,2.47,14721.2,10/16/2012,,
02645,MA,9.156,54753.0,10/16/2012,,
02748,MA,9.156,65740.0,10/16/2012,,
02131,MA,2.16,10746.0,10/11/2012,,
01366,MA,5.232,29792.0,10/16/2012,,
01337,MA,5.04,26500.0,10/11/2012,,
02090,MA,15.0,63000.0,10/16/2012,,
02536,MA,11.445,69000.0,10/11/2012,,
01464,MA,10.0,55030.0,10/11/2012,,
02790,MA,5.04,25074.0,11/09/2012,,
02466,MA,2.805,16073.0,10/16/2012,,
02645,MA,14.715,88500.0,10/16/2012,,
02176,MA,4.41,16096.5,10/11/2012,,
01376,MA,4.9,27930.0,10/11/2012,,
02176,MA,6.37,23887.5,10/11/2012,,
02360,MA,6.867,44780.0,10/11/2012,,
01757,MA,7.695,28224.95,10/11/2012,,
01773,MA,8.5,31450.0,10/11/2012,,
02128,MA,7.05,29857.5,10/16/2012,,
02474,MA,6.0,25340.0,10/11/2012,,
02155,MA,4.5,20250.0,10/16/2012,,
02130,MA,4.32,21492.0,10/11/2012,,
02119,MA,3.84,19104.0,10/11/2012,,
01606,MA,4.8,23880.0,12/20/2012,,
01752,MA,8.33,32770.04,10/16/2012,,
02155,MA,2.75,11797.5,10/11/2012,,
01462,MA,5.0,26087.0,12/20/2012,,
02536,MA,9.81,47000.0,10/16/2012,,
02132,MA,7.28,36218.0,11/15/2012,,
02121,MA,4.41,17218.25,10/16/2012,,
02459,MA,6.9,56499.0,10/11/2012,,
02746,MA,6.5,26119.0,01/08/2013,,
02141,MA,4.42,21232.0,10/16/2012,,
01082,MA,4.41,21517.0,10/11/2012,,
02740,MA,2.88,14328.0,12/07/2012,,
01827,MA,5.76,28656.0,10/16/2012,,
02050,MA,9.8,39439.25,10/11/2012,,
02155,MA,2.75,11797.5,10/11/2012,,
01757,MA,8.36,41591.0,01/08/2013,,
02119,MA,4.25,18800.0,10/16/2012,,
