Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=AZ
85739,AZ,7.848,39997.0,09/20/2012,,
85710,AZ,7.755,62040.0,04/02/2012,,
85742,AZ,3.36,21840.0,12/12/2012,,
85748,AZ,4.9,18130.0,12/17/2012,,
85711,AZ,3.22,25760.0,01/26/2012,,
85715,AZ,9.945,20200.0,12/27/2012,,
85713,AZ,9.165,73320.0,08/17/2012,,
85622,AZ,5.52,21250.0,10/16/2012,,
85718,AZ,10.464,46406.0,09/19/2012,,
85737,AZ,5.52,29532.0,03/28/2012,,
85743,AZ,5.28,20500.0,10/04/2012,,
85716,AZ,8.64,32964.0,09/27/2012,,
85748,AZ,7.755,45518.0,12/13/2012,,
85745,AZ,9.165,38000.0,06/19/2012,,
85713,AZ,7.92,39402.0,10/26/2012,,
85641,AZ,3.84,20544.0,02/22/2012,,
85712,AZ,4.32,23636.0,01/30/2012,,
85641,AZ,1.8,8610.0,03/26/2012,,
85743,AZ,6.21,31000.0,06/25/2012,,
85719,AZ,6.88,52150.4,06/04/2012,,
85749,AZ,7.2,43200.0,04/04/2012,,
85749,AZ,14.335,52823.0,10/26/2012,,
85747,AZ,1.44,8600.0,12/27/2012,,
85748,AZ,10.464,54000.0,12/03/2012,,
85737,AZ,8.46,37500.0,08/24/2012,,
85743,AZ,9.81,42926.0,10/05/2012,,
85614,AZ,3.12,12240.0,11/15/2012,,
85719,AZ,3.22,16019.5,12/10/2012,,
85614,AZ,6.21,34527.6,06/12/2012,,
85718,AZ,13.44,43305.0,12/17/2012,,
85730,AZ,9.99,77222.7,03/22/2012,,
85745,AZ,4.578,22890.0,08/08/2012,,
85748,AZ,6.58,52640.0,02/16/2012,,
85730,AZ,9.66,42740.0,03/29/2012,,
85743,AZ,6.11,48880.0,03/09/2012,,
85704,AZ,9.12,45348.0,03/26/2012,,
85747,AZ,1.47,5924.0,10/15/2012,,
85614,AZ,6.21,34589.7,02/15/2012,,
85745,AZ,6.72,33432.0,10/01/2012,,
85641,AZ,1.8,8600.0,04/12/2012,,
85282,AZ,12.5,54650.49318,07/22/2014,,
85745,AZ,4.56,31236.0,09/14/2012,,
85629,AZ,6.468,31461.0,06/04/2012,,
85750,AZ,13.16,49640.0,12/13/2012,,
85705,AZ,10.24,51474.0,03/26/2012,,
85714,AZ,6.72,25872.0,08/24/2012,,
85748,AZ,6.72,26750.0,05/16/2012,,
85746,AZ,3.25,13594.0,12/03/2012,,
85747,AZ,12.48,62088.0,10/17/2012,,
85705,AZ,3.27,16350.0,11/16/2012,,
85747,AZ,1.47,5294.0,11/14/2012,,
85614,AZ,3.29,15366.4,01/03/2012,,
85743,AZ,5.88,24282.0,12/21/2012,,
85742,AZ,6.72,32592.0,12/14/2012,,
85750,AZ,7.848,32000.0,09/24/2012,,
85712,AZ,6.468,29600.0,06/25/2012,,
85614,AZ,2.205,17400.0,10/15/2012,,
