Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=VT
05346,VT,3.52,27990.0,01/13/2012,,
05032,VT,11.28,50932.0,01/16/2012,,
05401,VT,3.29,18062.0,01/10/2012,,
05091,VT,5.64,33672.0,01/10/2012,,
05301,VT,3.96,22550.0,01/26/2012,,
05602,VT,16.1,88900.0,01/27/2012,,
05075,VT,1.645,10352.0,01/19/2012,,
05440,VT,7.14,34819.0,01/12/2012,,
05072,VT,4.05,29228.0,01/09/2012,,
05602,VT,8.46,43146.0,01/18/2012,,
05462,VT,1.88,11326.54,01/06/2012,,
05739,VT,1.72,21805.0,02/20/2012,,
05201,VT,20.68,98304.57,01/30/2012,,
05743,VT,6.88,46410.0,03/21/2012,,
05401,VT,4.48,24569.0,01/16/2012,,
05446,VT,7.2,29500.0,10/18/2012,,
05495,VT,152.88,760000.0,12/31/2012,,
05001,VT,13.5,65530.0,06/22/2012,,
05487,VT,10.2,50809.59,11/21/2012,,
05770,VT,58.8,411600.0,05/31/2012,,
05767,VT,6.11,24479.32,01/30/2012,,
05672,VT,14.4,70220.0,01/30/2012,,
05774,VT,5.1,21420.0,12/31/2012,,
05478,VT,18.36,99444.0,12/10/2012,,
05477,VT,12.0,55000.0,12/31/2012,,
05641,VT,13.8,75900.0,11/09/2012,,
05701,VT,155.48,423000.0,12/14/2012,,
05346,VT,11.76,58800.0,09/20/2012,,
05839,VT,6.0,20264.0,09/30/2012,,
05301,VT,30.6,146660.0,10/26/2012,,
05403,VT,5.1,25619.0,09/20/2012,,
05060,VT,87.36,298250.0,11/02/2012,,
05733,VT,5.0,23850.0,08/14/2012,,
05857,VT,16.56,28042.61,11/15/2012,,
05602,VT,62.4,220000.0,12/19/2012,,
05656,VT,56.4,270720.0,10/25/2012,,
05201,VT,31.68,139200.0,08/20/2012,,
05677,VT,146.64,703872.0,11/30/2012,,
05733,VT,56.4,270720.0,12/10/2012,,
05150,VT,357.6,1297000.0,10/17/2012,,
05841,VT,8.28,37260.0,06/01/2012,,
05401,VT,50.76,185281.0,10/31/2012,,
05301,VT,23.5,110544.0,09/20/2012,,
05445,VT,5.61,24525.0,04/30/2012,,
05346,VT,15.36,113664.0,06/07/2012,,
05445,VT,24.0,128375.0,05/17/2012,,
05346,VT,16.92,71656.0,04/25/2012,,
05602,VT,5.52,35250.0,05/01/2012,,
05301,VT,16.92,82062.0,06/01/2012,,
05443,VT,36.0,217284.0,07/27/2012,,
05403,VT,5.52,41400.0,01/30/2012,,
05701,VT,39.6,178112.0,01/25/2012,,
05753,VT,12.24,71000.0,01/16/2012,,
05143,VT,22.56,101144.04,01/26/2012,,
05358,VT,6.58,32900.0,01/30/2012,,
05819,VT,16.8,85390.0,01/20/2012,,
05774,VT,40.32,158765.0,01/05/2012,,
05836,VT,4.2,27300.0,01/04/2012,,
05445,VT,6.12,29070.0,01/23/2012,,
05753,VT,147.84,546893.0,01/25/2012,,
05486,VT,7.99,31480.0,01/24/2012,,
05670,VT,43.2,187087.0,01/26/2012,,
