Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=ME
04903,ME,41,154899.5442,07/09/2013,,
04605,ME,2.8,7836.490571,05/07/2013,,
04069,ME,3.84,22353.6025,01/08/2013,,
04674,ME,3.38,13378.20654,12/11/2012,,
04105,ME,8.64,48925.33556,01/17/2012,,
04347,ME,7.2,37559.76085,10/09/2012,,
04084,ME,5.2,20127.90578,01/08/2013,,
04917,ME,6.12,38528.02493,07/09/2013,,
04530,ME,6.24,19251.21344,12/04/2012,,
04217,ME,5.78,23387.80615,01/08/2013,,
04086,ME,5.76,21931.68905,09/04/2012,,
04055,ME,6.24,22245.45712,12/04/2012,,
04011,ME,4.16,17364.48126,10/09/2012,,
04986,ME,1.41,7053.043955,01/17/2012,,
04041,ME,4.16,16705.48766,12/11/2012,,
04537,ME,3.12,13988.47817,01/08/2013,,
04849,ME,2.76,15528.77055,02/05/2013,,
04680,ME,1.44,8871.043583,01/21/2012,,
04062,ME,33.8,134386.326,11/06/2012,,
03908,ME,3.78,13941.24986,05/07/2013,,
04105,ME,2,10707.01827,09/04/2012,,
04330,ME,1.79,8419.001029,09/03/2013,,
04102,ME,6.2,29830.86787,04/09/2013,,
04915,ME,10.25,32780.5309,06/04/2013,,
04553,ME,5.1,16545.81962,08/06/2013,,
04062,ME,4.08,18525.22439,07/03/2012,,
04108,ME,3.06,14032.5775,06/04/2013,,
04548,ME,4.8,20282.97474,05/01/2012,,
04002,ME,6.6,19632.54711,10/08/2013,,
04429,ME,7.92,26122.13702,07/03/2012,,
04578,ME,5.1,20268.84022,07/09/2013,,
04107,ME,3.36,14186.95244,06/05/2012,,
04021,ME,12,71510.28258,06/04/2013,,
04915,ME,3,9945.515076,10/08/2013,,
04093,ME,6.24,28506.34109,04/09/2013,,
04847,ME,6.12,17958.88485,08/06/2013,,
04989,ME,3.4,8886.414263,10/09/2012,,
04256,ME,4.5,15404.62311,04/09/2013,,
04530,ME,3.64,16529.17372,12/04/2012,,
04106,ME,3.84,18312.21355,09/04/2012,,
