Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=IN
46516,IN,3.6,,05/19/2011,,
47115,IN,1.05,,04/09/2010,,
47129,IN,1.05,,05/04/2011,,
46552,IN,6.0,,09/17/2010,,
47138,IN,1.4,,03/31/2011,,
47143,IN,11.4,,03/31/2011,,
46947,IN,3.22,,05/13/2011,,
47408,IN,3.525,,05/05/2010,,
47906,IN,2.016,25000.0,08/01/2008,,
47408,IN,3.42,,03/24/2011,,
47125,IN,1.05,,01/19/2011,,
46342,IN,1.38,,07/09/2010,,
47401,IN,1.88,,06/27/2010,,
47403,IN,4.6,,10/22/2010,,
47025,IN,2.1,,05/05/2010,,
47165,IN,1.05,,05/05/2010,,
47130,IN,1.05,,10/23/2010,,
46131,IN,186.4,,06/01/2011,,
47130,IN,1.62,,07/07/2010,,
46723,IN,8.1,,06/15/2010,,
47401,IN,1.68,,06/01/2010,,
47408,IN,2.45,,07/21/2011,,
47408,IN,3.84,19200,10/26/2011,,
46628,IN,6.9,,07/06/2010,,
46582,IN,3.08,,07/06/2010,,
46550,IN,6.3,,10/11/2010,,
47401,IN,3.0,,02/02/2009,,
47006,IN,3.15,,06/16/2010,,
47408,IN,2.4,,02/02/2010,,
47401,IN,2.76,,03/10/2010,,
47408,IN,1.17,,02/11/2009,,
47150,IN,1.05,,03/19/2010,,
47408,IN,2.37,,02/07/2010,,
47114,IN,9.4,,06/03/2010,,
46526,IN,6.44,,09/20/2010,,
46077,IN,2.34,,08/01/2008,,
47126,IN,1.05,,12/30/2010,,
47111,IN,1.05,,09/01/2010,,
47025,IN,1.075,,01/20/2010,,
47401,IN,2.2,,09/22/2009,,
47150,IN,1.05,,12/20/2010,,
47115,IN,1.05,,01/25/2011,,
47401,IN,3.69,,04/01/2010,,
47167,IN,1.05,,02/01/2011,,
46032,IN,50.0,,02/01/2012,,
46241,IN,99.96,,02/07/2011,,
46241,IN,4.86,,08/30/2010,,
47401,IN,2.2,,01/11/2012,,
47933,IN,5.39,,03/03/2011,,
46220,IN,3.08,,07/07/2011,,
46218,IN,2.0,,09/15/2011,,
47302,IN,2.94,,12/14/2011,,
47307,IN,2.82,,08/23/2011,,
46208,IN,2.45,,05/09/2011,,
46226,IN,4.14,,09/29/2011,,
46227,IN,59.52,,09/16/2011,,
46405,IN,72.52,,12/21/2011,,
46056,IN,16.64,,12/15/2011,,
46075,IN,4.3,15000.0,10/13/1997,,
47201,IN,15.44,69480,09/15/2011,,
46703,IN,10.63,56552,06/25/2009,,
47390,IN,3.92,22814,11/15/2010,,
46733,IN,5.88,37926,11/01/2010,,
46055,IN,5.88,26930,01/04/2011,,
46992,IN,2.4,,10/15/2008,,
46901,IN,0.864,,02/11/2010,,
47408,IN,5.4,,07/13/2011,,
47974,IN,7.4,,05/26/2011,,
46901,IN,3.22,,04/21/2010,,
46637,IN,4.68,,05/23/2007,,
46703,IN,7.2,,12/17/2009,,
46962,IN,8.28,,04/30/2010,,
47995,IN,1.8,,01/30/2008,,
47802,IN,13.4,104000.0,09/01/2009,,
46637,IN,93.0,,10/14/2010,,
46556,IN,10.0,,07/20/2011,,
46205,IN,5.0,,10/06/2009,,
47150,IN,4.29,40000.0,03/03/2010,,
46229,IN,4.2,,06/18/2009,,
46701,IN,4.8,,04/03/2006,,
47905,IN,10.0,,12/16/2010,,
46526,IN,3.36,,08/12/2010,,
46526,IN,5.0,,08/20/2009,,
46526,IN,5.25,,05/12/2010,,
46507,IN,5.5,,06/11/2009,,
46567,IN,5.5,,08/12/2009,,
46220,IN,3.0,,07/09/2011,,
46543,IN,6.3,,09/04/2009,,
46979,IN,2.5,,09/10/2009,,
47401,IN,3.25,,03/18/2009,,
47401,IN,1.98,,07/12/2007,,
46747,IN,5.0,,07/16/2010,,
46151,IN,6.44,,11/11/2010,,
46637,IN,8.2,,08/04/2008,,
46556,IN,50.0,500000.0,03/08/2010,,
46032,IN,6.35,,03/11/2010,,
46055,IN,5.8,25000.0,11/30/2010,,
47803,IN,14.1,85160.0,05/31/2010,,
46106,IN,4.14,33150.0,06/17/2010,,
46947,IN,6.3,50000.0,09/01/2009,,
46151,IN,4.5,39200.0,12/03/2010,,
46204,IN,4.05,33000.0,03/19/2009,,
46249,IN,2012.0,,04/29/2011,,
47405,IN,2.0,12000.0,04/30/2011,,
46033,IN,15.68,131000.0,09/02/2010,,
47639,IN,2.76,19680.0,04/20/2010,,
47712,IN,4.5,37287.5,03/31/2010,,
47712,IN,3.0,27250.0,11/03/2009,,
47713,IN,10.8,83250.0,05/01/2010,,
46150,IN,3.0,30729.6,06/01/2009,,
47708,IN,7.0,59780.0,05/01/2009,,
47401,IN,2.3,16000,05/01/2009,,
47240,IN,3.0,36220.0,10/23/2008,,
47611,IN,9.0,71250.0,01/23/2009,,
46131,IN,3.0,36720.0,02/17/2009,,
47546,IN,3.0,34662.5,09/24/2008,,
47630,IN,11.0,80000.0,12/07/2007,,
47630,IN,6,78161,09/01/2005,,
46901,IN,10.75,85200,04/11/2009,,
47708,IN,7,59780,04/21/2009,,
46410,IN,4.95,27500,03/07/2009,,
46321,IN,1.02,5800,06/20/2009,,
47401,IN,1.5,18500,05/12/2009,,
46902,IN,5,36760,05/30/2008,,
47404,IN,4.4,32000,04/21/2010,,
46550,IN,5.8,89334,02/12/2009,,
47331,IN,13.68,195000,05/15/2007,,
47715,IN,5.175,19500,01/05/2016,,
46151,IN,5.04,29200,11/04/2015,,
47715,IN,6.21,23800,09/15/2015,,
46160,IN,9.66,37800,09/24/2015,,
47710,IN,11.34,32250,12/15/2015,,
47720,IN,8.28,28700,12/30/2015,,
47579,IN,7.9,22500,04/28/2015,,
47713,IN,9.54,32250,08/17/2015,,
47579,IN,11.7,33400,06/30/2015,,
47725,IN,8.96,29995,02/04/2015,,
46383,IN,26.775,,03/29/2012,,
46241,IN,524.16,,05/21/2013,,
46241,IN,12569.0,,10/03/2013,,
46320,IN,2692.8,10500000.0,08/22/2013,,
46319,IN,2692.8,10500000.0,08/22/2013,,
47611,IN,8.9,76200,01/16/2009,,
47713,IN,10.8,85750,05/04/2010,,
46805,IN,5,30612.78,04/28/2008,,
47306,IN,1.04,25084,05/28/2008,,
47401,IN,0.53,5900,05/15/2008,,
46304,IN,1.36,,06/27/2009,,
47201,IN,3.0,29200.0,01/14/2010,,
47882,IN,3,31121.93,06/08/2008,,
46038,IN,4,32427,03/19/2009,,
47631,IN,10.0,81250.0,06/24/2010,,
47630,IN,30.6,87000.0,04/14/2013,,
47403,IN,23.32,60000.0,04/14/2013,,
47401,IN,27.56,69000.0,04/10/2013,,
46202,IN,45.92,245000.0,04/15/2013,,
46208,IN,10.0,28900.0,04/28/2013,,
47408,IN,24.0,78240.0,04/15/2013,,
47725,IN,14.3,52350.0,09/07/2012,,
47523,IN,14.56,49850.0,07/22/2012,,
47401,IN,4.896,,12/01/2008,,
46902,IN,1.92,,07/12/2007,,
