Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=NV
89106,NV,148.395,966560.0,08/15/2011,,
89511,NV,7.884,38638.0,08/16/2011,,
89501,NV,29.561,205968.0,08/16/2011,,
89118,NV,5.037,37950.0,08/16/2011,,
89149,NV,9.119,35147.0,08/16/2011,,
89511,NV,5.904,46575.0,08/16/2011,,
89702,NV,302.506,1580451.0,08/18/2011,,
89511,NV,3.523,14511.0,08/18/2011,,
89101,NV,6.393,32874.0,08/18/2011,,
89101,NV,4.625,32874.0,08/18/2011,,
89406,NV,31.176,167180.0,08/19/2011,,
89406,NV,42.065,222812.0,08/19/2011,,
89511,NV,7.282,31491.0,08/19/2011,,
89509,NV,52.759,559824.0,08/22/2011,,
89445,NV,148.667,789334.0,08/24/2011,,
89445,NV,99.284,537397.0,08/24/2011,,
89502,NV,60.754,300000.0,08/24/2011,,
89119,NV,51.069,361080.0,08/24/2011,,
89030,NV,99.763,676200.0,08/24/2011,,
89104,NV,99.971,707795.0,08/24/2011,,
89502,NV,10.798,87464.0,08/26/2011,,
89102,NV,69.451,463276.0,08/29/2011,,
89511,NV,21.14,112000.0,09/12/2011,,
89128,NV,102.622,500000.0,09/12/2011,,
89406,NV,7.309,38702.0,09/16/2011,,
89406,NV,7.309,38702.0,09/16/2011,,
89406,NV,7.309,38702.0,09/16/2011,,
89406,NV,7.309,38702.0,09/16/2011,,
89406,NV,9.746,51482.0,09/16/2011,,
89406,NV,31.176,164432.0,09/16/2011,,
89130,NV,98.69,510187.0,09/21/2011,,
89445,NV,181.003,963803.0,09/21/2011,,
89030,NV,44.66,316190.0,09/21/2011,,
89115,NV,99.971,707795.0,09/22/2011,,
89702,NV,49.383,294772.0,09/22/2011,,
89145,NV,99.971,707795.0,09/22/2011,,
89145,NV,99.971,707795.0,09/22/2011,,
89144,NV,25.543,180191.0,09/27/2011,,
89128,NV,78.687,387667.0,09/27/2011,,
89118,NV,37.356,258720.0,09/27/2011,,
89129,NV,41.611,271124.0,09/27/2011,,
89118,NV,14.63,100800.0,09/27/2011,,
89117,NV,51.615,352968.0,09/27/2011,,
89107,NV,31.703,174802.0,09/28/2011,,
89445,NV,303.151,1634558.0,09/28/2011,,
89128,NV,81.573,423080.0,09/30/2011,,
89102,NV,30.27,180753.0,09/30/2011,,
89101,NV,53.558,310720.0,09/30/2011,,
89410,NV,3.53,24700.0,10/03/2011,,
89179,NV,2.82,17473.0,10/05/2011,,
89011,NV,103.257,730760.0,10/05/2011,,
89011,NV,103.257,730760.0,10/05/2011,,
89506,NV,522.358,2590207.0,10/06/2011,,
89144,NV,59.848,303443.0,10/07/2011,,
89436,NV,97.176,485880.0,10/07/2011,,
89702,NV,297.832,1613672.0,10/07/2011,,
89102,NV,31.712,185305.0,10/07/2011,,
89102,NV,105.225,619464.0,10/10/2011,,
89130,NV,21.346,147840.0,10/11/2011,,
89104,NV,78.564,505949.0,10/12/2011,,
89030,NV,29.412,191404.0,10/12/2011,,
89121,NV,68.158,407575.0,10/13/2011,,
89410,NV,55.803,282158.0,10/14/2011,,
89118,NV,9.764,76513.72,10/14/2011,,
89460,NV,27.901,141079.0,10/14/2011,,
89502,NV,24.15,120000.0,10/18/2011,,
89436,NV,100.452,590000.0,10/21/2011,,
89104,NV,18.829,135000.0,10/21/2011,,
89509,NV,2.156,10120.0,10/21/2011,,
89101,NV,72.96,508200.0,10/21/2011,,
89032,NV,101.889,696780.0,10/21/2011,,
89031,NV,45.755,326140.0,10/21/2011,,
89031,NV,48.016,331340.0,10/21/2011,,
89501,NV,21.354,178702.0,10/21/2011,,
89074,NV,99.971,707795.0,10/27/2011,,
89429,NV,30.731,159561.0,10/27/2011,,
89445,NV,99.093,548191.0,10/27/2011,,
89512,NV,87.293,618033.0,10/27/2011,,
89074,NV,99.971,707795.0,10/27/2011,,
89403,NV,30.455,178042.0,10/28/2011,,
89130,NV,95.87,484836.0,10/28/2011,,
89502,NV,83.786,430000.0,10/28/2011,,
89502,NV,10.22,38941.0,10/28/2011,,
89130,NV,8.862,42575.0,10/31/2011,,
89146,NV,83.149,572880.0,10/31/2011,,
89702,NV,996.592,5126707.0,10/31/2011,,
89406,NV,49.868,251629.0,11/03/2011,,
89423,NV,0.504,9425.0,11/03/2011,,
89506,NV,46.534,308253.0,11/03/2011,,
89502,NV,19.593,101038.0,11/03/2011,,
89501,NV,80.401,413865.0,11/03/2011,,
89502,NV,19.593,101038.0,11/03/2011,,
89523,NV,30.844,217805.0,11/04/2011,,
89113,NV,99.971,707795.0,11/09/2011,,
89113,NV,97.269,688665.0,11/09/2011,,
89113,NV,99.971,707795.0,11/09/2011,,
89030,NV,52.006,291065.0,11/09/2011,,
89128,NV,31.723,181000.0,11/09/2011,,
89149,NV,30.899,177432.0,11/09/2011,,
89108,NV,37.079,236231.0,11/09/2011,,
