Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=DE
19971,DE,4.5,,06/27/2014,,
19975,DE,11.0,,07/28/2014,,
19720,DE,5.28,,05/08/2013,,
19701,DE,7.68,,04/02/2013,,
19711,DE,4.56,,04/15/2013,,
19703,DE,6.72,,07/08/2013,,
19971,DE,9.5,,11/20/2013,,
19808,DE,5.28,,07/16/2013,,
19808,DE,8.64,,09/20/2013,,
19701,DE,7.5,,01/16/2014,,
19808,DE,5.2,,02/10/2014,,
19973,DE,42.57,,09/29/2014,,
19709,DE,30.96,,09/30/2014,,
19711,DE,229.5,,10/09/2014,,
19901,DE,50.0,135700.0,05/19/2014,,
19803,DE,6.24,,06/02/2014,,
19971,DE,11.13,,04/15/2014,,
19958,DE,5.5,,06/18/2014,,
19958,DE,5.5,,06/18/2014,,
19958,DE,7.5,,06/18/2014,,
19734,DE,9.9,,06/03/2014,,
19968,DE,5.36,,06/02/2014,,
19958,DE,6.3,,05/05/2014,,
19970,DE,15.95,,01/24/2014,,
19970,DE,5.04,,10/04/2012,,
19958,DE,5.5,,05/13/2014,,
19810,DE,7.14,,01/08/2014,,
19943,DE,7.92,,11/15/2013,,
19809,DE,207.0,,06/24/2014,,
19970,DE,6.3,,03/12/2014,,
19958,DE,5.83,,01/14/2014,,
19958,DE,5.5,,05/13/2014,,
19958,DE,4.08,,04/10/2014,,
19958,DE,7.95,,01/14/2014,,
19968,DE,5.5,,04/29/2014,,
19970,DE,6.0,,05/01/2014,,
19958,DE,7.14,,04/23/2014,,
19973,DE,4.5,,04/23/2014,,
19970,DE,6.0,,08/29/2013,,
19958,DE,10.8,,05/01/2014,,
19958,DE,5.5,,05/22/2014,,
19966,DE,5.25,,05/27/2014,,
19947,DE,5.2,,05/27/2014,,
19947,DE,10.4,,05/27/2014,,
19713,DE,7.0,,12/18/2013,,
19952,DE,11.13,,04/09/2014,,
19954,DE,4.77,,03/28/2014,,
19702,DE,8.16,,04/02/2014,,
19971,DE,16.32,,09/25/2013,,
19901,DE,16.8,,02/27/2013,,
19952,DE,14.4,,07/23/2013,,
19702,DE,3.36,,03/11/2013,,
19711,DE,7.92,,03/11/2013,,
19701,DE,3.12,,03/25/2014,,
19958,DE,6.5,,03/24/2014,,
19958,DE,5.5,,03/21/2014,,
19958,DE,5.1,,03/19/2014,,
19971,DE,5.3,,02/20/2014,,
19970,DE,8.25,,02/04/2014,,
19958,DE,7.56,,03/07/2014,,
19963,DE,11.22,,10/17/2013,,
19958,DE,6.0,,02/21/2014,,
19958,DE,5.25,,02/26/2014,,
19958,DE,6.0,,02/28/2014,,
19958,DE,8.25,,02/28/2014,,
19958,DE,5.36,,03/07/2014,,
19958,DE,5.0,,02/26/2014,,
19810,DE,5.2,,03/14/2014,,
19958,DE,7.5,,02/10/2014,,
19734,DE,10.53,,02/07/2014,,
19709,DE,10.4,,02/19/2014,,
19803,DE,5.3,,02/07/2014,,
19933,DE,8.25,,02/19/2014,,
19956,DE,10.4,,02/04/2014,,
19966,DE,5.5,,02/14/2014,,
19971,DE,5.98,,12/03/2013,,
19971,DE,8.58,,01/16/2014,,
19943,DE,12.9,,11/08/2013,,
19933,DE,8.33,,12/10/2013,,
19734,DE,23.52,,12/30/2013,,
19947,DE,10.05,,12/03/2013,,
19944,DE,7.35,,10/15/2013,,
19901,DE,10.78,,10/30/2013,,
19930,DE,8.25,,02/04/2014,,
19953,DE,7.29,,12/03/2013,,
19711,DE,6.12,,11/18/2013,,
19734,DE,10.71,,11/11/2013,,
19947,DE,5.4,,12/03/2013,,
19701,DE,5.2,,03/25/2014,,
19713,DE,7.02,,04/16/2014,,
19958,DE,5.5,,04/11/2014,,
19958,DE,5.61,,04/10/2014,,
19702,DE,3.85,,04/15/2014,,
19950,DE,6.05,,04/09/2014,,
19958,DE,5.3,,03/19/2014,,
19720,DE,8.0,,03/06/2014,,
19966,DE,5.1,,04/30/2014,,
19958,DE,5.5,,03/19/2014,,
19958,DE,5.5,,04/22/2014,,
19968,DE,6.0,,04/22/2014,,
19968,DE,5.61,,02/04/2014,,
19701,DE,4.8,,01/23/2014,,
19958,DE,8.6,,01/06/2014,,
19930,DE,5.23,,12/26/2013,,
19971,DE,7.65,,01/16/2014,,
19958,DE,5.5,,02/27/2014,,
19958,DE,6.0,,02/20/1997,,
19970,DE,4.16,,02/21/2014,,
19934,DE,14.56,,02/06/2014,,
19968,DE,2.3,,11/12/2013,,
