Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=UT
84074,UT,1.68,8551.869902,01/28/2014,,
84624,UT,11.22,35921.76653,11/25/2014,,
84004,UT,6.12,24108.57487,11/02/2014,,
84117,UT,19.89,61334.47735,12/29/2014,,
84042,UT,64.8,209051.4409,09/19/2014,,
84115,UT,28.08,141787.5247,06/12/2014,,
84096,UT,0.75,1741.380572,02/03/2014,,
84047,UT,28.08,131300.7108,06/02/2014,,
84045,UT,5,15689.14307,07/08/2014,,
84095,UT,2,8966.812702,01/24/2014,,
84652,UT,259.2,469561.4171,01/28/2014,,
84779,UT,3,8923.844393,02/13/2014,,
84405,UT,7.425,24598.57668,10/03/2014,,
84404,UT,12.6,22457.49487,11/02/2014,,
84096,UT,0.75,3495.640076,01/24/2014,,
84084,UT,30,95498.01638,02/03/2014,,
84070,UT,31.2,145412.15,01/28/2014,,
84070,UT,18.36,53631.62277,09/11/2014,,
84095,UT,1.5,7741.213359,01/24/2014,,
84124,UT,11,35287.19845,11/25/2014,,
84120,UT,236.25,766432.137,02/13/2014,,
84112,UT,102.6,347092.7032,11/02/2014,,
84088,UT,5.4,8364.222385,06/02/2014,,
84321,UT,6.12,20911.76402,12/16/2014,,
84532,UT,4,16204.36805,07/14/2014,,
84093,UT,11,36441.04974,11/25/2014,,
84074,UT,5.13,6075.169626,02/25/2014,,
84070,UT,30.24,135097.9677,12/17/2014,,
84101,UT,10.8,34218.7534,02/03/2014,,
84095,UT,1.53,6144.941144,12/26/2014,,
84096,UT,1.47,3495.640076,01/24/2014,,
84084,UT,19.11,65268.47833,01/27/2014,,
84003,UT,5.355,17975.96453,05/19/2014,,
84015,UT,5.1,16850.15001,05/19/2014,,
84335,UT,5.035,17490.62842,01/27/2014,,
84121,UT,15.6,76439.65491,08/05/2014,,
84130,UT,364.14,1278420.945,09/04/2014,,
84096,UT,0.765,3482.301347,12/29/2014,,
84098,UT,4.32,11327.32693,09/22/2014,,
84738,UT,7.5,29240.05025,09/23/2014,,
84042,UT,27.04,132637.9749,12/17/2014,,
84405,UT,6,23292.3516,02/03/2014,,
84070,UT,28.08,145015.612,06/20/2014,,
84060,UT,8.82,31214.88177,01/27/2014,,
84128,UT,6.63,22345.1319,05/19/2014,,
84060,UT,2.385,8871.879343,10/20/2014,,
84115,UT,26.52,73643.69764,10/23/2014,,
84103,UT,4.08,15764.19028,06/20/2014,,
84121,UT,4.32,17158.63324,05/19/2014,,
84104,UT,30.015,116921.5187,10/23/2014,,
84738,UT,5.1,18718.58074,02/13/2014,,
84096,UT,0.735,3495.640076,01/24/2014,,
84096,UT,0.765,3482.301347,12/26/2014,,
84057,UT,5,19151.17232,07/09/2014,,
84057,UT,30.74,189392.3894,10/01/2014,,
84115,UT,21.42,59077.0449,10/23/2014,,
84020,UT,4.75,24034.84779,06/20/2014,,
84070,UT,28.08,145015.612,06/20/2014,,
84096,UT,0.765,3482.301347,12/18/2014,,
84108,UT,5,22197.16267,01/27/2014,,
84003,UT,7.28,24138.31506,05/19/2014,,
84120,UT,25.48,85253.54045,01/27/2014,,
84096,UT,0.765,3482.301347,12/18/2014,,
84060,UT,3.71,13961.30714,01/27/2014,,
84101,UT,4.05,13834.78129,08/01/2014,,
84096,UT,0.75,3495.640076,01/24/2014,,
84074,UT,28.5,50501.49396,01/27/2014,,
84025,UT,13.5,43569.16671,09/09/2014,,
84746,UT,6.72,25579.41577,08/01/2014,,
84098,UT,3.71,17442.77282,08/19/2014,,
84096,UT,0.735,3495.640076,01/24/2014,,
84096,UT,0.75,3482.761143,02/03/2014,,
84025,UT,3.75,15746.50303,09/08/2014,,
84096,UT,0.75,3482.761143,02/13/2014,,
84014,UT,7.02,12492.64014,12/16/2014,,
84096,UT,0.75,3495.640076,01/24/2014,,
84401,UT,25.235,56189.89424,02/03/2014,,
84074,UT,7.14,22986.25991,09/19/2014,,
