Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=PA
17013,PA,1236.0,7750255.0,10/19/2010,,
19464,PA,617.4,4387340.0,06/04/2010,,
18042,PA,1900.0,12020000.0,05/04/2010,,
17961,PA,8.505,60000.0,10/28/2010,,
17074,PA,8.46,49957.8,10/28/2010,,
18055,PA,10.66,78500.0,10/28/2010,,
17055,PA,3.44,27005.0,10/28/2010,,
17870,PA,8.46,54196.0,10/28/2010,,
19341,PA,2.8,15999.23,10/28/2010,,
19343,PA,3.36,20700.0,10/28/2010,,
19465,PA,6.88,42070.75,10/28/2010,,
19060,PA,5.33,29848.0,10/28/2010,,
18976,PA,8.064,45300.0,10/28/2010,,
18072,PA,11.28,81780.0,10/28/2010,,
18651,PA,9.72,112886.0,10/29/2010,,
17545,PA,12.6,70056.91,10/29/2010,,
18643,PA,9.66,67620.0,10/29/2010,,
17015,PA,10.105,61641.0,10/29/2010,,
17960,PA,10.08,61228.0,10/29/2010,,
17536,PA,10.08,56944.0,10/29/2010,,
17751,PA,10.175,54918.75,10/29/2010,,
17810,PA,10.08,53920.0,10/29/2010,,
19355,PA,5.17,35880.2,10/29/2010,,
19335,PA,8.61,50799.0,10/29/2010,,
19085,PA,10.44,58193.0,10/29/2010,,
19320,PA,9.66,59960.0,10/29/2010,,
19541,PA,8.51,47230.0,10/29/2010,,
19541,PA,1.11,6049.5,10/29/2010,,
15650,PA,10.0,75800.0,10/29/2010,,
17202,PA,9.36,53198.0,10/29/2010,,
17563,PA,13.86,73676.0,10/30/2010,,
17519,PA,10.08,56698.0,10/30/2010,,
17090,PA,10.08,52093.75,10/31/2010,,
19067,PA,4.23,24745.5,10/31/2010,,
17062,PA,3.44,22510.0,11/01/2010,,
17922,PA,4.8,45930.0,11/01/2010,,
17508,PA,6.93,43700.0,11/01/2010,,
18237,PA,3.22,24150.0,11/01/2010,,
17512,PA,31.5,154350.0,11/01/2010,,
17821,PA,10.08,62068.0,11/01/2010,,
18077,PA,5.94,33561.0,11/01/2010,,
18067,PA,2.46,17900.0,11/01/2010,,
17563,PA,5.88,34595.0,11/01/2010,,
17602,PA,9.36,49500.0,11/01/2010,,
17960,PA,4.51,31995.0,11/01/2010,,
18411,PA,5.33,36995.0,11/01/2010,,
17517,PA,10.125,63813.0,11/01/2010,,
18092,PA,6.56,39999.0,11/01/2010,,
17557,PA,9.66,60000.0,11/01/2010,,
17057,PA,5.33,36995.0,11/01/2010,,
17737,PA,5.4,40000.0,11/01/2010,,
17020,PA,5.04,32760.0,11/01/2010,,
18707,PA,6.3,43995.0,11/01/2010,,
17821,PA,5.33,35495.0,11/01/2010,,
19551,PA,5.04,30545.42,11/01/2010,,
19027,PA,3.29,21385.0,11/01/2010,,
17350,PA,10.08,61019.36,11/01/2010,,
19540,PA,6.975,42428.11,11/01/2010,,
17038,PA,7.56,43200.0,11/01/2010,,
17013,PA,6.93,44215.44,11/01/2010,,
17402,PA,6.93,42419.02,11/01/2010,,
19465,PA,4.62,30965.0,11/01/2010,,
18360,PA,7.98,54995.0,11/01/2010,,
19526,PA,1.35,6925.0,11/01/2010,,
18055,PA,59.8,397200.0,11/02/2010,,
17545,PA,2.94,17052.0,11/02/2010,,
17022,PA,10.08,55488.58,11/02/2010,,
18049,PA,6.66,44030.0,11/02/2010,,
17857,PA,9.72,55890.0,11/02/2010,,
19136,PA,103.635,603157.0,11/02/2010,,
18938,PA,15.84,104544.0,11/02/2010,,
18931,PA,34.56,228096.0,11/02/2010,,
18902,PA,20.16,133056.0,11/02/2010,,
19125,PA,3.3,23925.0,11/02/2010,,
19512,PA,10.08,68040.0,11/02/2010,,
19512,PA,10.66,72500.0,11/02/2010,,
17268,PA,17.28,96706.0,11/02/2010,,
16827,PA,9.66,72575.0,11/02/2010,,
18444,PA,7.38,45343.75,11/03/2010,,
17055,PA,10.08,65520.0,11/03/2010,,
17033,PA,26.04,144004.0,11/03/2010,,
17011,PA,7.2,53771.0,11/03/2010,,
19320,PA,10.12,64500.0,11/03/2010,,
17022,PA,5.04,32760.0,11/03/2010,,
19539,PA,5.76,38797.16,11/03/2010,,
16875,PA,9.4,68237.0,11/03/2010,,
17070,PA,3.06,26999.93,11/04/2010,,
17584,PA,6.3,36225.0,11/04/2010,,
17111,PA,9.6,73253.0,11/04/2010,,
17061,PA,9.99,53946.0,11/04/2010,,
17070,PA,14.96,97240.0,11/04/2010,,
19072,PA,6.21,43500.0,11/04/2010,,
19342,PA,7.2,49943.0,11/04/2010,,
19006,PA,10.175,57591.0,11/04/2010,,
19040,PA,3.78,28663.03,11/04/2010,,
17356,PA,7.38,40590.0,11/04/2010,,
17557,PA,143.585,831053.7,11/05/2010,,
19440,PA,10.56,58968.0,11/05/2010,,
19610,PA,4.224,25800.0,11/05/2010,,
18445,PA,9.2,50004.0,11/05/2010,,
17048,PA,2.52,16480.0,11/05/2010,,
17011,PA,1.08,12200.0,11/05/2010,,
19382,PA,64.155,355403.16,11/05/2010,,
18944,PA,10.08,73200.0,11/05/2010,,
19138,PA,6.72,45905.0,11/05/2010,,
19018,PA,3.68,22623.0,11/05/2010,,
19147,PA,4.2,31721.0,11/05/2010,,
