Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=NM
88012,NM,2.88,13079.0,06/22/2012,,
88011,NM,2.88,13767.0,09/20/2012,,
88011,NM,2.88,12979.0,05/08/2012,,
88011,NM,2.88,17005.0,09/24/2012,,
87059,NM,6.48,42663.57,09/04/2012,,
87122,NM,12.348,68987.6,08/14/2012,,
88311,NM,1.88,15363.5,06/01/2012,,
87121,NM,7.92,21604.9,09/01/2012,,
87048,NM,2.35,14712.0,05/10/2012,,
87801,NM,5.64,13930.5,08/10/2012,,
88005,NM,8.88,41607.73,10/02/2012,,
87083,NM,2.88,15857.52,05/29/2012,,
87108,NM,2.52,14161.0,10/16/2012,,
88011,NM,6.0,30670.0,03/05/2012,,
88011,NM,4.56,21704.0,07/11/2012,,
88004,NM,3.6,18100.0,03/01/2012,,
88011,NM,3.6,18068.5,01/13/2012,,
87114,NM,4.8,20062.1,09/13/2012,,
87109,NM,6.86,40215.01,09/11/2012,,
87122,NM,8.33,38500.0,06/27/2012,,
87107,NM,7.2,35055.6,10/12/2012,,
88011,NM,5.886,39154.07,08/08/2012,,
88005,NM,6.24,32700.0,03/19/2012,,
88007,NM,2.88,12979.0,06/12/2012,,
88007,NM,2.88,12979.0,06/13/2012,,
88007,NM,3.36,17250.0,05/08/2012,,
88011,NM,4.8,21690.0,08/29/2012,,
88011,NM,3.84,17290.0,09/14/2012,,
88007,NM,2.88,13544.0,06/15/2012,,
88007,NM,4.8,21610.0,07/24/2012,,
88007,NM,1.92,10640.0,06/08/2012,,
87120,NM,5.39,25808.53,06/08/2012,,
87540,NM,6.468,44729.0,06/26/2012,,
88011,NM,3.5,9926.04,06/22/2012,,
87107,NM,7.2,47841.0,08/31/2012,,
87107,NM,6.776,42377.86,05/03/2012,,
87111,NM,3.36,18458.73,02/24/2012,,
87144,NM,2.58,21064.2,05/16/2012,,
87047,NM,17.68,85000.0,05/23/2012,,
87047,NM,20.02,100000.0,06/19/2012,,
87047,NM,20.02,100000.0,05/10/2012,,
87047,NM,20.02,100000.0,03/06/2012,,
88011,NM,8.16,30600.0,09/01/2012,,
87508,NM,2.3,13564.0,03/13/2012,,
87571,NM,3.924,39900.0,10/04/2012,,
87015,NM,3.27,18556.0,11/07/2012,,
87121,NM,4.8,22208.4,10/03/2012,,
88005,NM,5.76,21600.0,03/21/2012,,
88001,NM,6.48,23128.0,07/30/2012,,
