Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=MD
21061,MD,5.94,29551.5,06/13/2012,,
20878,MD,5.94,45738.0,04/09/2012,,
21218,MD,6.0,38725.0,04/27/2012,,
21162,MD,6.0,26150.0,06/27/2012,,
20723,MD,6.0,35236.0,06/20/2012,,
21146,MD,6.0,33600.0,06/01/2012,,
21012,MD,6.0,24500.0,05/22/2012,,
20901,MD,6.0,29850.0,09/04/2012,,
20901,MD,6.0,29850.0,06/25/2012,,
21212,MD,6.0,40000.0,05/25/2012,,
20878,MD,6.02,48040.0,04/10/2012,,
20876,MD,6.02,45632.0,03/05/2012,,
21093,MD,6.02,45632.0,02/06/2012,,
20874,MD,6.045,31916.0,02/01/2012,,
21044,MD,6.08,30480.0,01/12/2012,,
21043,MD,6.08,27197.0,02/06/2012,,
21015,MD,6.105,27472.0,02/01/2012,,
21042,MD,6.105,27892.0,01/01/2012,,
21043,MD,6.11,26120.0,07/23/2012,,
21784,MD,6.11,46313.0,04/09/2012,,
20711,MD,6.11,46313.0,04/03/2012,,
21158,MD,6.11,46313.0,03/05/2012,,
21044,MD,6.11,46313.8,02/27/2012,,
20837,MD,6.11,26362.6,01/30/2012,,
21012,MD,6.11,36000.0,02/23/2012,,
21111,MD,6.11,31855.0,04/02/2012,,
21911,MD,6.11,47230.0,03/07/2012,,
21770,MD,6.12,15595.87,07/14/2012,,
20814,MD,6.12,47307.0,03/14/2012,,
21014,MD,6.125,29625.0,01/11/2012,,
21045,MD,6.21,34900.0,06/13/2012,,
21075,MD,6.21,34000.0,02/01/2012,,
21050,MD,6.24,29400.0,05/23/2012,,
21034,MD,6.24,29999.0,06/11/2012,,
20769,MD,6.24,31044.0,05/08/2012,,
20912,MD,6.24,32510.4,05/07/2012,,
21048,MD,6.24,32510.4,04/16/2012,,
20878,MD,6.24,39720.0,03/15/2012,,
21034,MD,6.25,32000.0,05/06/2012,,
20854,MD,6.25,30625.0,03/20/2012,,
21921,MD,6.3,48510.0,01/04/2012,,
21048,MD,6.37,49240.0,04/16/2012,,
21037,MD,6.38,31740.5,07/27/2012,,
