Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=OR
97080,OR,2.5,11375.0,07/01/2012,,
97080,OR,3.25,14788.0,07/01/2012,,
97080,OR,3.25,15275.0,07/01/2012,,
97080,OR,3.29,14970.0,07/01/2012,,
97080,OR,3.29,14970.0,07/01/2012,,
97080,OR,3.29,14970.0,07/01/2012,,
97080,OR,3.29,14970.0,07/01/2012,,
97080,OR,3.29,14970.0,07/01/2012,,
97080,OR,3.29,14970.0,07/01/2012,,
97080,OR,3.29,14970.0,07/01/2012,,
97080,OR,3.29,14970.0,07/01/2012,,
97080,OR,3.29,14970.0,07/01/2012,,
97080,OR,3.29,15957.0,07/01/2012,,
97080,OR,3.3,17193.0,07/01/2012,,
97080,OR,4.08,23256.0,07/01/2012,,
97080,OR,4.5,19575.0,07/01/2012,,
97071,OR,6.12,24510.0,07/01/2012,,
97070,OR,2.04,15700.0,07/01/2012,,
97070,OR,2.82,21176.0,07/01/2012,,
97070,OR,2.99,16071.0,07/01/2012,,
97070,OR,3.12,16255.0,07/01/2012,,
97070,OR,3.22,15588.0,07/01/2012,,
97070,OR,3.22,14651.0,07/01/2012,,
97070,OR,3.57,19255.0,07/01/2012,,
97070,OR,4.08,18799.0,07/01/2012,,
97068,OR,2.0,14550.0,07/01/2012,,
97068,OR,2.75,13375.0,07/01/2012,,
97068,OR,3.06,13923.0,07/01/2012,,
97068,OR,3.22,13226.0,07/01/2012,,
97068,OR,3.22,15134.0,07/01/2012,,
97068,OR,3.29,16645.0,07/01/2012,,
97068,OR,3.29,15957.0,07/01/2012,,
97068,OR,3.36,15792.0,07/01/2012,,
97068,OR,4.7,22795.0,07/01/2012,,
97062,OR,4.08,18854.0,07/01/2012,,
97062,OR,4.32,23090.0,07/01/2012,,
97060,OR,3.36,16716.0,07/01/2012,,
97060,OR,4.62,24070.0,07/01/2012,,
97060,OR,6.37,30308.0,07/01/2012,,
97058,OR,1.84,16654.0,07/01/2012,,
97058,OR,6.885,28183.0,07/01/2012,,
